team_no,team_name,player,nationality,role,designation
1,Mumbai Indians,Hardik Pandya,Indian,All Rounder,Captain
1,Mumbai Indians,Rohit Sharma,Indian,Batter,
1,Mumbai Indians,Suryakumar Yadav,Indian,Batter,
1,Mumbai Indians,Jasprit Bumrah,Indian,Bowler,
1,Mumbai Indians,Ryan Rickelton,Overseas,Wicket Keeper,
1,Mumbai Indians,Sherfane Rutherford,Overseas,Batter,
1,Mumbai Indians,Naman Dhir,Indian,All Rounder,
1,Mumbai Indians,Will Jacks,Overseas,All Rounder,
1,Mumbai Indians,Shardul Thakur,Indian,All Rounder,
1,Mumbai Indians,Trent Boult,Overseas,Bowler,
1,Mumbai Indians,AM Ghazanfar,Overseas,Bowler,
1,Mumbai Indians,Mitchell Santner,Overseas,All Rounder,
1,Mumbai Indians,Tilak Varma,Indian,Batter,
1,Mumbai Indians,Quinton de Kock,Overseas,Wicket Keeper,
1,Mumbai Indians,Robin Minz,Indian,Wicket Keeper,
1,Mumbai Indians,Deepak Chahar,Indian,Bowler,
1,Mumbai Indians,Ashwani Kumar,Indian,Bowler,
1,Mumbai Indians,Mayank Markande,Indian,Bowler,
1,Mumbai Indians,Raj Bawa,Indian,All Rounder,
1,Mumbai Indians,Corbin Bosch,Overseas,All Rounder,
1,Mumbai Indians,Danish Malewar,Indian,Batter,
1,Mumbai Indians,Atharva Ankolekar,Indian,All Rounder,
1,Mumbai Indians,Mayank Rawat,Indian,All Rounder,
1,Mumbai Indians,Raghu Sharma,Indian,Bowler,
1,Mumbai Indians,Mohd Izhar,Indian,Bowler,
2,Chennai Super Kings,Ruturaj Gaikwad,Indian,Batter,Captain
2,Chennai Super Kings,Dewald Brevis,Overseas,Batter,
2,Chennai Super Kings,MS Dhoni,Indian,Wicket Keeper,
2,Chennai Super Kings,Kartik Sharma,Indian,Wicket Keeper,
2,Chennai Super Kings,Sarfaraz Khan,Indian,Batter,
2,Chennai Super Kings,Ayush Matre,Indian,Batter,
2,Chennai Super Kings,Urvil Patel,Indian,Batter,
2,Chennai Super Kings,Sanju Samson,Indian,Wicket Keeper,
2,Chennai Super Kings,Aman Khan,Indian,All Rounder,
2,Chennai Super Kings,Shivam Dubey,Indian,All Rounder,
2,Chennai Super Kings,Zak Foulkes,Overseas,All Rounder,
2,Chennai Super Kings,Ramakrishna Ghosh,Indian,All Rounder,
2,Chennai Super Kings,Anshul Kamboj,Indian,All Rounder,
2,Chennai Super Kings,Jamie Overton,Overseas,All Rounder,
2,Chennai Super Kings,Matthew Short,Overseas,All Rounder,
2,Chennai Super Kings,Prashant Veer,Indian,All Rounder,
2,Chennai Super Kings,Khaleel Ahmed,Indian,Bowler,
2,Chennai Super Kings,Rahul Chahar,Indian,Bowler,
2,Chennai Super Kings,Shreyas Gopal,Indian,Bowler,
2,Chennai Super Kings,Matt Henry,Overseas,Bowler,
2,Chennai Super Kings,Gurjapneet Singh,Indian,Bowler,
2,Chennai Super Kings,Akeal Hosein,Overseas,Bowler,
2,Chennai Super Kings,Mukesh Choudhary,Indian,Bowler,
2,Chennai Super Kings,Spencer Johnson,Overseas,Bowler,
2,Chennai Super Kings,Noor Ahmad ,Overseas,Bowler,
