venue_stadium,city,state,capacity,home_team
Narendra Modi Stadium,Ahmedabad,Gujrat,132000,GT
Wankhede Stadium,Mumbai,Maharashtra,33108,MI
Eden Gardens,Kolkata,West Bengal,68000,KKR
MA Chidambaram Stadium,Chennai,Tamil Nadu,50000,CSK
Arun Jaitley Stadium,New Delhi,Delhi,41000,DC
New PCA Cricket Stadium,Chandigarh,Punjab,38000,PBKS
Ekana Cricket Stadium,Lucknow,Uttar Pradesh,50000,LSG
Rajiv Gandhi International Stadium,Hyderabad,Telangana,55000,SRH
M. Chinnaswamy Stadium,Bengaluru,Karnataka,33800,RCB
Barsapara Stadium,Guwahati,Assam,46000,RR
Sawai Mansingh Stadium,Jaipur,Rajasthan,30000,RR
HPCA Stadium,Dharamshala,Himachal Pradesh,23000,PBKS
